Tipo,Nombre,Inventario,"Precio normal",Categorías
simple,"Perfume Perro Gato Equilibrium Carolina Herrera",3,450,"Cuidado e Higiene, Perfume"
simple,"Perfume Perro Gato Latitude Paco Rabanne",4,450,"Cuidado e Higiene, Perfume"
simple,"Shampoo Líquido para Cachorros Ibasa 500ml Único",0,"450,0","Cuidado e Higiene, Shampoo, Varios"
simple,"Shampoo Líquido para Perros Ibasa 500ml Único",0,"450,0","Cuidado e Higiene, Shampoo, Varios"
simple,"Shampoo Líquido para Gatos Ibasa 500ml Único",1,"450,0","Cuidado e Higiene, Shampoo, Varios"
simple,"Antiparasitario Interno Vermibal Tableta x10",1,"245,0","Antiparasitarios, Cuidado e Higiene, Sin categorizar, Varios"
simple,"Alfombrilla GRANDE para lamer perros y gatos Lick Mat",,"520,0","Cuidado e Higiene, Juguetes, Sin categorizar, Varios"
simple,"Alfombrilla CHICA para lamer perros y gatos Lick Mat",2,"370,0","Cuidado e Higiene, Juguetes, Sin categorizar, Varios"
variable,"Bolso Igloo para Gato",1,,"Gatos, Varios"
variable,"Juguete Hueso Curvo TPR Resistente",3,,"Juguetes, Perros"
variable,"Juguete Hueso TPR Resistente",,,"Juguetes, Perros"
simple,"Juguete mancuerna",1,"370,0","Juguetes, Perros, Varios"
variable,"Pelota rugby",3,,"Juguetes, Perros, Varios"
variable,"Correa Extensible",1,,Correas
variable,"Correa redonda mango acolchonado",,,Correas
simple,"Juguete Hueso Macizo",1,260,Juguetes
variable,"Chapita identificadora Redonda 25x25",,,"Accesorios, Chapitas Identificadoras, Chapitas Identificadoras > Chapitas Identificadoras Gato, Chapitas Identificadoras > Chapitas Identificadoras Perro, Gatos"
simple,"Botella portatil acero roja",,490,"Promociones, Varios"
variable,"Juguete pelota maciza",,,Juguetes
simple,"Pala recolectora plástica Perro",,390,"Cuidado e Higiene, Promociones"
simple,PRUEBA,,10,"Sin categorizar"
variable,"Collar Pets Club Hebilla Grabada",,,"Chapitas Identificadoras > Chapitas Identificadoras Perro, Collares > Collares con chapita remachada, Perros"
variable,"Collar con Chapita Remachada para GATO",,,"Accesorios, Chapitas Identificadoras, Chapitas Identificadoras > Chapitas Identificadoras Gato, Collares, Collares > Collares con chapita remachada, Gatos"
simple,"Juguete gato con dispensador",,430,"Gatos, Juguetes, Sin categorizar"
simple,"Juguete Láser Para Gatos",,185,"Gatos, Juguetes"
simple,"Ratón Vibrador Juguete Gato",,219,"Gatos, Juguetes"
simple,"Peine a Vapor Perro y Gato",,390,"Cuidado e Higiene, Gatos"
